Key,Abbreviated,Format,Control,Multiplier
InhE_NAE,InhE_NAE,,0,1
InhE_N,InhE_N,,0,1
InhE_P,InhE_P,,0,1
PTEP,PTEP,,0,0
PTEP_F_N,PTEP_F_N,,0,1
PTEP_F_Max,PTEP_F_Max,,0,100
PTEP_F_Min,PTEP_F_Min,,0,100
PTEP_F_StdDev,PTEP_F_StdDev,,0,1
PTEP_F_Median,PTEP_F_Median,,0,100
PTEP_F_Mean,PTEP_F_Mean,,0,100
PTEP_F_Threshold,PTEP_F_Threshold,,0,1
1FnE,1FnE,,1,1
X1FnE_N_N,X1FnE_N_N,,1,1
X1FnE_N_Max,X1FnE_N_Max,,1,1
X1FnE_N_Min,X1FnE_N_Min,,1,1
X1FnE_N_StdDev,X1FnE_N_StdDev,,0,1
X1FnE_N_Median,X1FnE_N_Median,,1,1
X1FnE_N_Mean,X1FnE_N_Mean,,1,1
X1FnE_N_Threshold,X1FnE_N_Threshold,,1,1
DFEP,DFEP,,0,0
DFEP_F_N,DFEP_F_N,,0,1
DFEP_F_Max,DFEP_F_Max,,0,100
DFEP_F_Min,DFEP_F_Min,,0,100
DFEP_F_StdDev,DFEP_F_StdDev,,0,1
DFEP_F_Median,DFEP_F_Median,,0,100
DFEP_F_Mean,DFEP_F_Mean,,0,100
DFEP_F_Threshold,DFEP_F_Threshold,,0,1
1MInE,1MInE,,1,1
X1MInE_N_N,X1MInE_N_N,,1,1
X1MInE_N_Max,X1MInE_N_Max,,1,1
X1MInE_N_Min,X1MInE_N_Min,,1,1
X1MInE_N_StdDev,X1MInE_N_StdDev,,0,1
X1MInE_N_Median,X1MInE_N_Median,,1,1
X1MInE_N_Mean,X1MInE_N_Mean,,1,1
X1MInE_N_Threshold,X1MInE_N_Threshold,,1,1
1MInE_RecType,1MInE_RecType,,1,1
X1MInE_RecType_N_N,X1MInE_RecType_N_N,,1,1
X1MInE_RecType_N_Max,X1MInE_RecType_N_Max,,1,1
X1MInE_RecType_N_Min,X1MInE_RecType_N_Min,,1,1
X1MInE_RecType_N_StdDev,X1MInE_RecType_N_StdDev,,0,1
X1MInE_RecType_N_Median,X1MInE_RecType_N_Median,,1,1
X1MInE_RecType_N_Mean,X1MInE_RecType_N_Mean,,1,1
X1MInE_RecType_N_Threshold,X1MInE_RecType_N_Threshold,,1,1
1MInE_ArgType,1MInE_ArgType,,1,1
X1MInE_ArgType_N_N,X1MInE_ArgType_N_N,,1,1
