,MD,CDB,AFS,DL,PX,JHD,HC,APD
WAR_Cluster_N,37,31,95,92,170,210,148,44
WAR_Cluster_Max,7,8,6,86,71,96,25,5
WAR_Cluster_Min,1,1,1,1,1,1,1,1
WAR_Cluster_StdDev,1.011198557,1.362319338,1.018639279,9.50321192,7.672438139,8.859353938,3.456257532,0.632121165
WAR_Cluster_Median,1,1,1,2,1,1,1,1
WAR_Cluster_Mean,1.243243243,1.548387097,1.347368421,3.586956522,2.476470588,3.119047619,2.141891892,1.136363636
WAR_Cluster_Threshold,1,2,1,3,1,1,1,1
WA_Cluster_N,41,32,103,102,226,229,163,47
WA_Cluster_Max,2,6,5,27,23,58,16,3
WA_Cluster_Min,1,1,1,1,1,1,1,1
WA_Cluster_StdDev,0.331294578,1.047269876,0.797865036,4.797227893,2.770276992,6.867648664,2.760505263,0.323315388
WA_Cluster_Median,1,1,1,3,1,1,1,1
WA_Cluster_Mean,1.12195122,1.5,1.242718447,3.235294118,1.862831858,2.860262009,1.944785276,1.063829787
WA_Cluster_Threshold,1,2,1,3,2,2,1,1
SO_F_N,10,10,31,70,126,114,72,6
SO_F_Max,0.75,0.800000012,0.833333313,0.923076928,0.949999988,0.969696999,0.954545438,0.75
SO_F_Min,0,0,0,0,0,0,0,0
SO_F_StdDev,0.316227766,0.29832868,0.278028556,0.244814486,0.348323888,0.285624897,0.345622199,0.306186218
SO_F_Median,0.5,0.5,0.5,0.5,0,0,0.5,0
SO_F_Mean,0.35,0.330000001,0.311827954,0.546814403,0.308467181,0.238410418,0.50184333,0.125
SO_F_Threshold,0.5625,0.5,0.5,0.666666627,0.666666627,0.5,0.800000012,0.1875
All_NumEdges,124,104,400,2668,3559,6217,4341,70
All_NumPtEdges,124,104,400,2668,3559,6217,4341,70
InhE_NAE,124,104,400,2668,3559,6217,4341,70
InhE_N,14,0,15,63,98,362,176,1
InhE_P,11.290322,0,3.7500002,2.3613193,2.7535825,5.8227444,4.054365,1.4285715
PTEP_F_N,50,26,87,65,274,167,310,30
PTEP_F_Max,0.916666687,0,0.820754707,0.994047642,0.997134686,0.883040905,0.955555558,0.5
PTEP_F_Min,0,0,0,0,0,0,0,0
PTEP_F_StdDev,0.311109299,0,0.292101987,0.270603418,0.245117447,0.225416113,0.249771564,0.091287093
PTEP_F_Median,0.5,0,0,0,0,0,0,0
PTEP_F_Mean,0.420999994,0,0.234357232,0.239705995,0.108756559,0.140039484,0.115471642,0.016666667
PTEP_F_Threshold,0.666666627,0,0.5,0.5,0,0.25,0,0
X1FnE_N_N,74,56,133,73,552,197,469,58
X1FnE_N_Max,4,4,76,374,480,961,87,2
X1FnE_N_Min,1,1,0,1,0,0,0,1
X1FnE_N_StdDev,0.663341702,1.268499471,9.02274284,68.14472244,24.16470718,96.54357872,4.386176208,0.255608594
X1FnE_N_Median,1,1,1,3,2,3,1,1
X1FnE_N_Mean,1.256756757,1.75,2.789473684,27.8630137,4.460144928,24.58375635,1.84434968,1.068965517
X1FnE_N_Threshold,1,2,1,18,2,12,1,1
